TaskID,TaskName,resource_type,SectionID,SectionName,Completed,Client_Name,Project Name,Brand
1198708037935675,Baierl Acura Social Build + Flip,task,1198743303540683,Social Build + Flip,False,Baierl Acura,Jan Build,Acura
1198708034773888,Acura of Honolulu (Lithia) Social Build + Flip,task,1198743303540683,Social Build + Flip,False,Acura of Honolulu (Lithia),Jan Build,Acura
1198708036244273,Paragon Acura Social Build + Flip,task,1198743303540683,Social Build + Flip,False,Paragon Acura,Jan Build,Acura
1198853037245848,DCH Tustin Acura Social Build + Flip,task,1198743303540683,Social Build + Flip,False,DCH Tustin Acura,Jan Build,Acura
1198708035181429,Ray Laks Acura of Buffalo Social Build + Flip,task,1198743303540683,Social Build + Flip,False,Ray Laks Acura of Buffalo,Jan Build,Acura
1198743340902148,Park Ave Acura Social Build + Flip,task,1198743303540683,Social Build + Flip,False,Park Ave Acura,Jan Build,Acura
1198853040114254,Baierl Acura Account QC,task,1198743303543877,Account QC,False,Baierl Acura,Jan Build,Acura
1198853037636720,Acura of Honolulu (Lithia) Account QC,task,1198743303543877,Account QC,False,Acura of Honolulu (Lithia),Jan Build,Acura
1198708036835962,Paragon Acura Account QC,task,1198743303543877,Account QC,False,Paragon Acura,Jan Build,Acura
1198743340858284,DCH Tustin Acura Account QC,task,1198743303543877,Account QC,False,DCH Tustin Acura,Jan Build,Acura
1198853034999949,Ray Laks Acura of Buffalo Account QC,task,1198743303543877,Account QC,False,Ray Laks Acura of Buffalo,Jan Build,Acura
1198743341066680,Park Ave Acura Account QC,task,1198743303543877,Account QC,False,Park Ave Acura,Jan Build,Acura
1198853212917518,Baierl Acura Lithia Approval,task,1198743303548100,Lithia Approval,False,Baierl Acura,Jan Build,Acura
1198708191612149,Acura of Honolulu (Lithia) Lithia Approval,task,1198743303548100,Lithia Approval,False,Acura of Honolulu (Lithia),Jan Build,Acura
1198708191383101,DCH Tustin Acura Lithia Approval,task,1198743303548100,Lithia Approval,False,DCH Tustin Acura,Jan Build,Acura
1198853209878261,Ray Laks Acura of Buffalo Lithia Approval,task,1198743303548100,Lithia Approval,False,Ray Laks Acura of Buffalo,Jan Build,Acura
1198743343937592,Baierl Acura Alexia Link,task,1198743303551206,Alexia Link,False,Baierl Acura,Jan Build,Acura
1198743343737373,Acura of Honolulu (Lithia) Alexia Link,task,1198743303551206,Alexia Link,False,Acura of Honolulu (Lithia),Jan Build,Acura
1198743340452309,Paragon Acura Alexia Link,task,1198743303551206,Alexia Link,False,Paragon Acura,Jan Build,Acura
1198743343907205,DCH Tustin Acura Alexia Link,task,1198743303551206,Alexia Link,False,DCH Tustin Acura,Jan Build,Acura
1198708038736197,Ray Laks Acura of Buffalo Alexia Link,task,1198743303551206,Alexia Link,False,Ray Laks Acura of Buffalo,Jan Build,Acura
1198853039999301,Park Ave Acura Alexia Link,task,1198743303551206,Alexia Link,False,Park Ave Acura,Jan Build,Acura
1198708036437769,Baierl Acura Social QC,task,1198743303554315,Social QC,False,Baierl Acura,Jan Build,Acura
1198743341432327,Acura of Honolulu (Lithia) Social QC,task,1198743303554315,Social QC,False,Acura of Honolulu (Lithia),Jan Build,Acura
1198708038465494,Paragon Acura Social QC,task,1198743303554315,Social QC,False,Paragon Acura,Jan Build,Acura
1198708038993699,DCH Tustin Acura Social QC,task,1198743303554315,Social QC,False,DCH Tustin Acura,Jan Build,Acura
