TaskID,TaskName,resource_type,SectionID,Section_Name,OEM,Completed,Project_Name
1199393587575054,Sign then Drive Incentive - Tiguan NER Ohio Campaign,task,1198733209080810,Creative Development,Co-Op Approved,True,OHIO Sign then Drive Campaign
1198733212598252,Confirm Creative Assets with Campaign Teams,task,1198733209080810,Creative Development,,True,OHIO Sign then Drive Campaign
1198733212601501,Creative Approval from Brand,task,1198733209080810,Creative Development,,True,OHIO Sign then Drive Campaign
1198733212604802,Creative Approval from Compliance ,task,1198733209080810,Creative Development,Co-Op Approved,True,OHIO Sign then Drive Campaign
1199246561046103,Add Disclaimers to Motion Ads,task,1198733209080810,Creative Development,Account QC,True,OHIO Sign then Drive Campaign
1199246561046105,Add Disclaimers to Canvas ,task,1198733209080810,Creative Development,Account QC,True,OHIO Sign then Drive Campaign
1199246561046107,Add Disclaimers to Carousel,task,1198733209080810,Creative Development,Account QC,True,OHIO Sign then Drive Campaign
1199405493525504,Package Build - OHIO Sign then Drive,task,1198733209080810,Creative Development,Co-Op Approved,True,OHIO Sign then Drive Campaign
1198841739269244,Billing Packages Created,task,1198733209080812,Campaign Setup,,True,OHIO Sign then Drive Campaign
1198841739273418,Billing Packages Added to Billing Calc,task,1198733209080812,Campaign Setup,Account QC,True,OHIO Sign then Drive Campaign
1198841739276637,Send Billing Email,task,1198733209080812,Campaign Setup,,True,OHIO Sign then Drive Campaign
1198841739284028,Confirm Campaign Strategy ,task,1198733209080812,Campaign Setup,,True,OHIO Sign then Drive Campaign
1198841739288408,Share Campaign Strategy with Campaign Teams,task,1198733209080812,Campaign Setup,,True,OHIO Sign then Drive Campaign
1198733212566872,Send UTMs to Campaign Team,task,1198733209080812,Campaign Setup,,False,OHIO Sign then Drive Campaign
1198733212574181,Receive Billing Codes,task,1198733209080812,Campaign Setup,,False,OHIO Sign then Drive Campaign
1198733212582558,Confirm Onboarding Section,task,1198733209080812,Campaign Setup,,True,OHIO Sign then Drive Campaign
1198733212583684,Make Import Onboarding Template,task,1198733209080812,Campaign Setup,,True,OHIO Sign then Drive Campaign
1198733212588941,Add stores in V2,task,1198733209080812,Campaign Setup,,True,OHIO Sign then Drive Campaign
1199402529353493,Facebook Access - Sunset VW - Sent ,task,1198733209080818,Onboarding,Client Review,True,OHIO Sign then Drive Campaign
1198733209080821,Initiate Client Onboarding,task,1198733209080818,Onboarding,,True,OHIO Sign then Drive Campaign
1198733209080826,Welcome Emails,task,1198733209080818,Onboarding,,True,OHIO Sign then Drive Campaign
1198733209080831,Facebook Access- Volkswagen of Boardman- confirmed,task,1198733209080818,Onboarding,,True,OHIO Sign then Drive Campaign
